Continente,Pais,Suma de Población,Esperanza de Vida,Mortalidad Infantil
Europa,Moldavia,3552000,70.7,40.42
Asia,República Democrática Popular de Corea,25368620,70.4,24.04
Asia,Federacion Rusa,144342396,70.3,15.39
Asia,Bután,797765,70.1,100.44
Asia,Turkmenistán,5662544,70.1,73.08
Asia,Mongolia,3027398,69.6,53.79
América,Bolivia,10887882,69.2,53.11
Asia,Filipinas,103320222,69.2,23.51
América,Belice,366954,68.7,25.69
Asia,India,1324171354,68.5,56.29
América,Guyana,773303,68.4,33.26
Asia,Timor-Leste,1268671,68.1,35.1
Asia,Pakistán,193203476,67.7,72.44
Asia,Tayikistán,8734951,67.7,110.76
Oceanía,Papúa Nueva Guinea,8084991,67.2,51.45
Oceanía,Nauru,13049,67.1,9.95
África,Ghana,28206728,66.6,51.43
Asia,Myanmar,52885223,66.6,38.5
Oceanía,Tuvalu,11097,66.5,20.03
Oceanía,Kiribati,114395,66.2,48.52
África,Madagascar,24894551,65.9,76.83
Asia,Yemen,27584213,65.5,61.5
África,Togo,7606374,65,66.61
África,Gambia,2038501,64.9,72.02
África,Santo Tomé y Principe,199910,64.9,43.11
Asia,Camboya,15762370,64.5,71.48
Asia,República Democrática Popular Lao,6758353,64.3,85.22
África,Comoras,795601,64.2,74.93
África,Guinea Ecuatorial,1221490,64.2,85.13
África,Sudán,39578828,64.1,62.5
África,Kenia,48461567,64,61.47
América,Haití,10847334,63.8,73.45
África,Namibia,2479713,63.6,48.98
África,Yibuti,942333,63.2,104.13
África,Sudáfrica,55908865,63.1,61.81
África,Mauritania,4301018,63,70.89
África,Etiopía,102403196,62.2,95.32
África,Tanzania,55572201,62.2,98.54
África,Benín,10872298,61.9,85
África,Senegal,15411614,61.7,55.51
África,Malaui,18091575,61.2,103.32
África,Guinea,12395924,60.6,90.37
África,Burundi,10524117,60.5,69.29
África,Ruanda,11917508,60.1,91.23
África,Congo,5125821,59.3,93.86
África,Liberia,4613823,59,128.87
África,Costa de Marfil,23695919,58.7,90.83
África,Camerún,23439189,58.5,68.26
África,Sierra Leona,7396190,58.2,143.64
África,Zimbabue,16150362,58,67.69
África,República del Congo,78736153,57.3,94.69
África,Sudán del Sur,12230730,56.8,58.1
África,Angola,28813463,56,191.19
África,Malí,17994837,55.8,116.79
África,Burkina Faso,18646433,55.5,97.57
África,Níger,20672987,55.5,121.69
África,Uganda,41487965,55.4,67.83
África,Botsuana,2250260,54.5,54.58
África,Nigeria,185989640,53.4,98.8
África,Mozambique,28829476,53.3,130.79
África,Lesoto,2203821,53,84.23
África,Zambia,16591390,52.5,88.29
África,Somalia,14317996,52.4,116.7
África,República Centroafricana,4594621,52.3,91
África,Gabón,1979786,52.1,53.64
África,Suazilandia,1343098,51.6,69.27
Asia,Afganistán,34656032,51.3,163.07
África,Guinea-Bisáu,1815698,50.6,107.17
África,Chad,14452543,50.2,93.82
